date,name,localName,countryCode,types,global
2030-04-19,Good Friday,Good Friday,US,Public,False
2030-04-19,Good Friday,Good Friday,US,Optional,False
2030-05-08,Truman Day,Truman Day,US,School|Authorities,False
2030-05-27,Memorial Day,Memorial Day,US,Public,True
2030-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2030-07-04,Independence Day,Independence Day,US,Public,True
2030-09-02,Labour Day,Labor Day,US,Public,True
2030-10-14,Columbus Day,Columbus Day,US,Public,False
2030-10-14,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2030-11-11,Veterans Day,Veterans Day,US,Public,True
2030-11-28,Thanksgiving Day,Thanksgiving Day,US,Public,True
2030-12-25,Christmas Day,Christmas Day,US,Public,True
2031-01-01,New Year's Day,New Year's Day,US,Public,True
2031-01-20,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2031-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2031-02-17,Presidents Day,Washington's Birthday,US,Public,True
2031-04-11,Good Friday,Good Friday,US,Public,False
2031-04-11,Good Friday,Good Friday,US,Optional,False
2031-05-08,Truman Day,Truman Day,US,School|Authorities,False
2031-05-26,Memorial Day,Memorial Day,US,Public,True
2031-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2031-07-04,Independence Day,Independence Day,US,Public,True
2031-09-01,Labour Day,Labor Day,US,Public,True
2031-10-13,Columbus Day,Columbus Day,US,Public,False
2031-10-13,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2031-11-11,Veterans Day,Veterans Day,US,Public,True
2031-11-27,Thanksgiving Day,Thanksgiving Day,US,Public,True
2031-12-25,Christmas Day,Christmas Day,US,Public,True
